semana,estado,vibracion_rms
1,2,5.0853146949810561
2,1,2.8620286356019635
3,2,4.8485672743026251
4,3,1.8424198587594944
5,0,2.6994359444851872
6,1,3.4975899834484596
7,1,2.8768589987231157
8,0,2.5438686544544429
9,0,2.5214428627035694
10,0,2.5236477001120017
11,0,2.7096716919192443
12,0,2.2580778033080517
13,0,2.9846175801511845
14,0,2.3073107624787044
15,0,2.6520450247767675
16,0,2.8557621285287618
17,1,3.8182762741433618
18,1,3.468193786429639
19,1,3.9589878063179853
20,1,3.9540427240252765
21,3,1.7097345280185869
22,0,1.8754639817658909
23,0,1.7276600378245246
24,0,1.4589607609127828
25,0,1.247717481861552
26,0,1.3644805847651595
27,1,3.5273039936204902
28,1,3.5987864287762972
29,2,5.5813208378005656
30,2,5.4620814632390875
31,2,5.4984576138103796
32,2,5.6424761352487751
33,1,4.1303177918307474
34,1,4.2156791741746193
35,0,3.0060703223622918
36,0,1.7849018608745422
37,0,1.8460992796156721
38,1,3.6702507246568321
39,1,3.4071938333208216
40,1,3.0187607082686103
41,2,5.7640581029997859
42,2,5.4843833802668698
43,2,5.2026490962129772
44,1,3.4739570235338286
45,1,3.3519962963131769
46,1,3.2561473195495889
47,2,4.9220293789629528
48,2,4.8160800482007087
49,3,1.5060958579833317
50,0,1.610594369224525
51,0,1.1025507586880567
52,0,1.2529036066557548
53,1,2.7009282303969524
54,3,0.89146872705364932
55,0,2.0687050514057472
56,1,3.6915042752913756
57,1,3.5730650150021179
58,1,3.6655496745588962
59,2,5.654111870388431
60,2,5.7014535251617104
61,2,5.0341487093136346
62,1,3.6283234084573865
63,1,4.1724803710290299
64,2,6.0197103664153415
65,2,6.0868121874252443
66,1,3.5588391534799211
67,1,3.6627375102102055
68,2,5.4728121781300834
69,3,2.2788759166006454
70,1,2.9768074155729987
71,1,3.0790145374725371
72,1,2.9475104457917189
73,2,4.2982140646887945
74,2,4.4258243409407587
75,2,4.6151455562436849
76,3,1.7019429298224893
77,0,2.5653632690505281
78,1,2.9639964627917714
79,2,4.5384209984458206
80,1,2.9438611718950796
81,2,5.2360355423000682
82,3,2.2752839200348256
83,0,2.4673152991733671
84,0,1.9652962292997982
85,0,2.4510518334390055
86,0,2.8598295442306698
87,0,2.1967738902276128
88,0,2.3615232142353251
89,0,2.6198945153296864
90,0,3.0700733943572551
91,1,4.285266299999674
92,1,4.3224330322586706
93,2,5.2704868623504364
94,3,1.9732473539103461
95,0,2.307702836282385
96,0,2.205911855317503
97,1,3.0242652964626044
98,2,4.7324601206410239
99,2,4.5183487803275657
100,2,4.487726432067352
101,1,2.9156633795268827
102,2,4.4839331331808792
103,3,0.90312023948155207
104,0,1.5467706202082452
105,0,1.6826857015167418
106,1,2.9275349661383814
107,1,2.993889143571951
108,1,3.1080286984808532
109,2,5.4128088882855714
110,2,5.3450481315209135
111,2,4.9732138571776794
112,3,2.1169515041134934
113,0,2.4493234935491079
114,1,3.6862741708607216
115,1,3.5594141612641197
116,1,3.5643819293244996
117,1,3.2235158491384013
118,1,3.3166781361118325
119,0,2.4980186305966683
120,0,1.8954595871172715
121,0,1.41282657713244
122,0,1.4439190015320209
123,1,3.1029345813656755
124,1,2.8725636061114566
125,1,3.2049753863581207
126,1,3.2307979746242088
127,1,3.3981853601802499
128,2,5.4515376523450154
129,3,1.6008217648442196
130,0,2.1277854747030149
131,0,1.9193853946159281
132,0,1.9182327487360278
133,0,1.9633954274007124
134,0,2.3706553198854778
135,0,2.4788738366773182
136,0,2.5252167748393366
137,0,2.2925085792804762
138,0,1.2485851093741025
139,0,1.7022488844658299
140,0,2.603940798622594
141,0,2.2445660531416527
142,0,2.4540146839125949
143,0,2.3610447912365213
144,0,2.4869439132949922
145,0,2.4835965415080614
146,0,2.2435547038178933
147,0,1.4242723094886296
148,0,1.5191034767920213
149,0,1.167274555104973
150,0,1.6039478493475912
151,0,2.03373617947523
152,1,3.8905323141053048
153,1,3.4890005150883296
154,1,3.3901618122154717
155,2,4.8478850526533375
156,3,1.2126226674867959
157,1,3.2369705568693306
158,1,3.0282371368968275
159,2,5.113864879548724
160,2,4.6785440958358757
161,3,1.6933644209310938
162,0,2.0399822336116009
163,0,2.5593427664641175
164,0,2.0004922693830776
165,0,2.2565077001372047
166,1,3.5362642244262488
167,1,3.3435637205992248
168,1,3.3748773909652279
169,1,3.1249395903558801
170,1,3.2420166443483085
171,1,3.3852186890428162
172,2,5.9116475686832706
173,3,2.2565932071356536
174,0,2.3709592878972572
175,0,1.7890267622241951
176,0,1.6445669217081531
177,0,1.3994042326922591
178,0,2.076012897668611
179,1,3.5159997173264848
180,1,3.0876642991082153
181,1,3.2853153897206102
182,1,3.4961950651901592
183,1,3.154104627263731
184,1,3.0834278468172802
185,0,2.0036684593342162
186,0,1.490715878629848
187,0,1.4956437387584582
188,0,2.4469712992007504
189,0,2.6745371516115006
190,0,2.8140769591998911
191,0,3.1916509396470336
192,0,2.7392446590995068
193,0,3.2434098876784763
194,0,3.0224557822702014
195,0,3.1770245917670481
196,1,4.843902102333038
197,2,6.4750853891529498
198,2,6.3684344118791767
199,3,2.1019185141934922
200,0,1.9962786762873599
201,0,1.7988713440827688
202,1,2.8682645052828826
203,1,3.1849702385193845
204,1,3.6187622502024488
205,1,3.6515729310759344
206,1,3.1373484465635055
207,1,3.1261877947435246
208,1,2.6381703653240605
