semana,estado,porcentaje_no_conformes
1,0,2.65069562359937
2,0,2.6112923114335773
3,0,2.3106718730100377
4,1,4.262144838232859
5,1,4.538538273234829
6,0,2.92277725936788
7,0,3.6163527578532477
8,0,3.4312620317104647
9,0,3.1980254088236784
10,0,2.9923532270448927
11,0,2.762078651027718
12,0,2.8206300005686193
13,0,2.8058836659607973
14,0,2.1262623970453056
15,0,2.4811869562973667
16,0,2.8177658912166827
17,0,2.2997849732070375
18,0,2.678251917715497
19,0,2.819553141026798
20,0,2.289311731253232
21,0,2.936343841934372
22,1,4.4661549478719715
23,1,5.106716798491056
24,1,5.132457393497733
25,1,4.6376510704951945
26,1,4.414717295597216
27,2,8.232316331638671
28,2,7.687537066974469
29,3,2.8127854860077424
30,0,2.398635672208083
31,0,2.8662315010764154
32,0,3.2532851147415984
33,0,2.8741400424075327
34,0,2.955540647925101
35,1,4.662785625550111
36,1,4.3007326921846545
37,0,2.702411224332133
38,0,2.5762178003907446
39,1,4.849454484838542
40,1,4.357277008937287
41,1,4.625156698954152
42,1,5.098926255709397
43,0,3.445604828960831
44,0,2.9131797501932724
45,0,2.870708509870539
46,0,2.9463235579605453
47,0,3.1161923278678194
48,0,3.4239804783726506
49,0,2.368091957776884
50,0,1.9914337416868215
51,1,3.9473401265175836
52,2,6.856070237183783
53,2,6.7259122724164495
54,2,7.073364901319127
55,2,7.575018113382444
56,2,7.606527462802138
57,2,7.676156627682209
58,2,8.056696046949458
59,2,8.296705970513008
60,2,8.152248779595363
61,3,2.3363554215804876
62,0,2.4783776588040793
63,1,4.880719693771356
64,1,4.136652144644904
65,1,3.967065201863424
66,2,7.458949413236791
67,1,3.712915243457688
68,1,3.2281996835500437
69,1,4.7525337901861855
70,0,2.742049226470711
71,0,2.975662292460761
72,0,2.377094368083793
73,0,3.058149014212969
74,1,5.091863569474882
75,2,8.127276469140408
76,3,2.6185794083965614
77,0,2.179010476621922
78,0,2.350727662268265
79,0,1.7898224081660385
80,1,5.172344825527828
81,0,2.895574744938661
82,0,2.590687893920284
83,0,3.255192798207137
84,0,3.659140504471461
85,1,5.527327745132679
86,1,5.626983106091613
87,0,3.39314037431462
88,0,3.115625834234966
89,0,3.159639469669439
90,0,2.731906110052265
91,0,2.2349455696823908
92,0,1.9492820062561402
93,0,2.1357509723360537
94,0,2.2984539715556425
95,0,2.7721992821176666
96,0,2.602157728613074
97,0,2.0761618059758393
98,0,2.8423534832718174
99,1,4.455837233869318
100,1,5.181925270896405
101,3,3.072767132063046
102,0,3.2876097101727155
103,0,3.095092115919927
104,0,1.9535566697375981
105,0,2.1430593411435406
106,0,1.820041131629155
107,0,1.955937933401707
108,0,1.8861811184036188
109,0,2.731588230037658
110,0,2.435764248153723
111,0,3.3357385578863648
112,0,3.4002101060709986
113,0,2.908488917040027
114,0,2.3947217438238075
115,0,2.9207392631191387
116,1,4.747161101152718
117,1,4.836496657380764
118,2,7.989275125561869
119,2,8.152507381349892
120,2,8.657078429317341
121,2,9.011840079239382
122,3,3.5433188791104264
123,1,4.8929276199047615
124,1,3.9115478218705944
125,0,2.216809237429117
126,0,1.9698600218697804
127,0,2.272555464918689
128,0,2.3689432457175195
129,0,1.7165119101780317
130,0,1.443012411890423
131,0,1.6742771033519377
132,0,2.2713242609508972
133,0,2.385887851300319
134,0,3.289178324040051
135,0,3.036276931596044
136,0,2.8533437442356346
137,1,5.46690981402961
138,1,5.008771304612963
139,2,8.218731042221041
140,2,7.677386428961931
141,2,7.110552823796221
142,2,7.580017118712804
143,3,2.579221605235638
144,0,2.0734934939507843
145,0,2.4337646741441823
146,0,2.3335630484834997
147,0,2.8308971971460117
148,0,3.2588305961436492
149,0,2.902700120354858
150,0,2.7209493774693514
151,0,2.5884482317635302
152,0,2.950704633587928
153,0,3.475218540805686
154,0,2.532675680126584
155,0,2.163583322789329
156,1,3.961847904744609
157,1,4.5795324714369166
158,0,2.0798387622888472
159,0,2.612959062729274
160,0,3.378295370825402
161,0,2.6280475363062554
162,0,2.2670526414678993
163,0,2.1835462133514167
164,0,2.595787318458373
165,0,2.556710732434415
166,0,2.476296616826964
167,0,2.454907631479939
168,0,3.092532315192939
169,0,2.897840404501843
170,0,2.04982552671887
171,1,4.406656584225862
172,1,4.726671953879777
173,1,4.722129816925511
174,1,4.159811075478529
175,0,2.4557226615203844
176,0,2.1746524052537017
177,0,2.848241622660567
178,0,1.9066785836065447
179,0,2.0673805695869714
180,0,1.3654167358065834
181,0,1.2792604906456866
182,0,1.4319422427000723
183,0,2.4756855518587235
184,0,2.526823620006837
185,0,2.092468553758468
186,1,4.101429477033167
187,1,4.085951813328139
188,0,2.5386259863672227
189,0,2.8625619998879595
190,0,2.8740835187706777
191,0,2.0541085071687863
192,0,1.9668582302953888
193,0,2.1588473857582615
194,0,1.495473598000188
195,2,7.049455288308698
196,3,2.3953138764453383
197,0,2.8246058598147537
198,0,2.553353672855997
199,1,4.805055770926646
200,1,4.633978911604829
201,2,8.281411264790211
202,2,8.455270801616418
203,1,5.4999113793481635
204,1,5.225678435018294
205,1,4.628893833402464
206,1,5.089569588393324
207,1,4.897798019867596
208,1,5.1357626378578365
