semana,estado,solicitudes
1,0,815
2,0,662
3,0,655
4,0,712
5,0,790
6,1,962
7,1,928
8,0,833
9,0,936
10,1,1054
11,1,1073
12,2,1220
13,1,899
14,1,923
15,0,763
16,1,998
17,0,752
18,0,752
19,1,965
20,1,1062
21,2,1285
22,2,1301
23,2,1212
24,2,1233
25,2,1210
26,0,860
27,0,806
28,0,847
29,1,990
30,0,807
31,0,790
32,0,771
33,0,848
34,0,891
35,1,934
36,0,635
37,0,706
38,0,746
39,1,874
40,1,816
41,0,719
42,1,864
43,2,1078
44,2,995
45,1,757
46,1,830
47,1,871
48,1,874
49,0,786
50,0,790
51,0,805
52,1,895
53,1,941
54,1,961
55,1,1063
56,2,1269
57,2,1190
58,2,1213
59,1,982
60,1,945
61,1,955
62,1,929
63,1,970
64,1,951
65,1,924
66,2,1267
67,2,1165
68,2,1257
69,2,1293
70,0,801
71,2,1207
72,2,1135
73,2,1164
74,1,920
75,1,1024
76,1,1028
77,0,837
78,0,793
79,0,839
80,0,816
81,0,815
82,0,839
83,0,796
84,0,878
85,0,745
86,0,788
87,1,851
88,1,856
89,1,889
90,1,841
91,1,813
92,1,846
93,1,877
94,2,1177
95,2,1114
96,2,1110
97,2,1116
98,2,1034
99,2,1087
100,1,892
101,0,700
102,1,932
103,0,725
104,0,766
105,0,810
106,0,792
107,0,924
108,1,1004
109,0,845
110,0,848
111,0,858
112,2,1184
113,1,1016
114,1,1044
115,1,1026
116,1,944
117,0,803
118,0,726
119,1,896
120,2,1158
121,1,948
122,0,811
123,0,870
124,0,906
125,0,853
126,0,828
127,0,852
128,2,1296
129,1,1046
130,1,959
131,3,1341
132,1,994
133,0,807
134,1,928
135,2,1197
136,2,1273
137,2,1220
138,3,1401
139,1,930
140,1,862
141,1,800
142,1,880
143,2,1038
144,2,1076
145,2,947
146,2,873
147,2,1091
148,2,1144
149,1,899
150,1,883
151,1,901
152,1,891
153,2,1201
154,2,1222
155,1,929
156,1,841
157,1,963
158,1,874
159,1,982
160,1,954
161,2,1132
162,3,1369
163,2,1110
164,2,1131
165,2,1206
166,3,1420
167,0,794
168,1,901
169,1,970
170,1,1048
171,1,1038
172,0,790
173,0,784
174,1,967
175,1,988
176,0,932
177,0,966
178,0,901
179,1,994
180,1,1068
181,1,1090
182,1,1023
183,0,770
184,0,844
185,0,769
186,0,777
187,1,1022
188,1,915
189,2,1264
190,2,1198
191,3,1314
192,0,668
193,2,1080
194,2,1115
195,3,1321
196,1,905
197,1,836
198,2,1031
199,2,1024
200,3,1209
201,2,1118
202,1,995
203,1,960
204,1,906
205,1,991
206,2,1184
207,2,1173
208,2,1192
