semana,estado,usuarios_activos
1,1,7301
2,1,8100
3,1,8165
4,1,8310
5,2,6342
6,2,6192
7,2,6541
8,2,6579
9,2,6505
10,3,7275
11,1,8413
12,1,8133
13,2,6274
14,0,9261
15,0,9109
16,0,9156
17,1,7971
18,2,6481
19,2,6762
20,3,7725
21,1,8380
22,3,7449
23,1,8289
24,2,6066
25,2,5749
26,1,7532
27,1,7735
28,2,6082
29,3,7208
30,0,9553
31,0,9757
32,0,9521
33,0,9548
34,0,9947
35,1,8400
36,1,7947
37,1,7888
38,1,7851
39,1,7795
40,1,8045
41,1,8031
42,0,9851
43,0,9930
44,0,9743
45,1,8286
46,0,9553
47,0,9856
48,0,10012
49,0,9804
50,0,9650
51,0,9496
52,1,7992
53,0,9502
54,0,9204
55,1,7845
56,0,9570
57,1,8397
58,1,8340
59,1,8605
60,1,8564
61,2,6393
62,2,6340
63,3,7435
64,1,8393
65,3,7094
66,3,7208
67,1,8072
68,0,9576
69,0,9671
70,1,8460
71,1,8608
72,1,8759
73,2,6715
74,1,8524
75,1,8358
76,1,8526
77,2,6612
78,2,6395
79,1,8605
80,3,7417
81,0,9554
82,0,9994
83,0,9978
84,0,9731
85,0,9761
86,0,9694
87,0,9885
88,0,9881
89,1,8158
90,1,8267
91,1,8067
92,1,8246
93,1,8167
94,1,8388
95,1,8450
96,1,8981
97,1,8935
98,0,10495
99,0,10207
100,0,9988
101,1,8692
102,1,8465
103,2,6449
104,2,6361
105,2,6236
106,2,6184
107,2,6276
108,2,6457
109,2,6555
110,2,6832
111,2,6617
112,2,6660
113,2,6750
114,2,6667
115,2,6439
116,2,6340
117,1,7962
118,1,8079
119,0,9608
120,0,9723
121,0,9788
122,1,8997
123,1,8557
124,1,8468
125,1,8577
126,0,9702
127,0,9584
128,1,8162
129,1,8324
130,1,8098
131,1,7969
132,1,8071
133,2,6129
134,3,7656
135,0,10133
136,0,10550
137,0,10186
138,0,10179
139,1,8609
140,1,8608
141,1,8482
142,1,8282
143,0,9441
144,0,9631
145,0,9912
146,0,10001
147,0,10016
148,1,8704
149,1,8721
150,1,8898
151,1,8633
152,2,6774
153,2,6769
154,2,6705
155,3,7409
156,1,8457
157,0,9925
158,0,9777
159,0,9885
160,0,10145
161,0,10171
162,0,10333
163,0,10538
164,1,9048
165,1,8821
166,1,8933
167,1,8807
168,1,8755
169,1,8311
170,1,8104
171,1,8422
172,1,8403
173,2,6537
174,2,6714
175,3,7946
176,0,10039
177,0,10133
178,0,10131
179,2,6757
180,2,6634
181,2,6547
182,2,6528
183,2,6666
184,2,6570
185,2,6577
186,2,6781
187,2,7348
188,2,7341
189,2,7077
190,2,7236
191,2,7228
192,3,8005
193,1,8974
194,1,8640
195,1,8327
196,1,8219
197,2,6448
198,2,6126
199,2,6394
200,2,6497
201,2,6481
202,2,7000
203,2,6907
204,2,7249
205,2,7113
206,2,6928
207,2,7139
208,2,6755
